,Spearman_coef
CD53,0.136681741
APOL3,0.136547064
DCAF10,0.136343382
ZHX3,0.136235694
KIF3A,0.136171605
PARVB,0.136125582
IGFBP3,0.135884128
CASK,0.135879267
SP3,0.135855855
PLCL1,0.135739882
ZBBX,0.135729912
ATP2B2,0.135559344
HNRNPLL,0.13549866
CCDC88A,0.135285251
ZNF106,0.135269219
CRTAP,0.135245381
ABCB7,0.135199619
MBP,0.135182806
NLK,0.135182578
FANCM,0.135092699
SPOPL,0.135070252
CERK,0.135061333
MRAS,0.13501272
LGALS8,0.134999864
CSF2RA,0.1349797
MTHFD2,0.134948727
UFL1,0.134885556
RAP2A,0.134832386
COLGALT2,0.134779744
PWWP2B,0.134772898
TSTD2,0.134708876
FAAH2,0.134656478
UBD,0.134588298
ADRA2A,0.134473582
RHOU,0.134421539
HBM,0.134392105
RIF1,0.134364436
WDR82,0.134336691
CCDC125,0.134308035
KBTBD7,0.134252449
TBL1XR1,0.134198748
NOM1,0.134105105
SERPINE1,0.134095309
LIMK1,0.134078782
DDX58,0.133930037
ERICH3,0.133927318
FMOD,0.133908283
PI4KA,0.133889958
TPD52,0.133845776
HOMER3,0.133746831
CCDC39,0.133672038
KIAA0040,0.133561537
NELL2,0.13353381
FUT10,0.13340964
ANKRD35,0.13337355
IKZF3,0.133337857
AKT1,0.133314607
AOAH,0.133284051
ARHGEF26,0.13313183
MGC27345,0.132972217
FN3K,0.132935407
AMMECR1,0.132902054
GRB14,0.132767042
TMEM101,0.132665081
FAM189A1,0.132584629
KMT2C,0.132539455
SNX10,0.132423409
CSTF2,0.132387007
VNN2,0.132348128
EFCAB6,0.132270266
LPCAT3,0.132253077
SH2B3,0.13217516
ZNF764,0.132162692
PPP2R5E,0.132146724
GALNT18,0.132097783
TRPV1,0.132069614
C1orf109,0.132020963
MEDAG,0.131988666
LYSMD2,0.13192406
CLPTM1,0.131903035
MACF1,0.131872007
SRC,0.131728732
ZNF720,0.131509625
VWA8,0.131480536
PDE5A,0.131345034
NOL10,0.13125486
NEFL,0.13118778
EHMT2,0.131150908
DIRC2,0.131146591
DESI2,0.131127949
CRY1,0.13112306
RNF111,0.131122784
ACVR1C,0.131062792
NBAS,0.131047164
DAB2,0.131031822
COL18A1,0.1309989
SLC4A1,0.13086196
HLA-L,0.130796162
PHF23,0.130781758
USP9X,0.130715245
STT3A,0.130684985
PDIA6,0.130679026
UBR3,0.130591224
DNAH6,0.130588033
GLMP,0.130490249
SLC7A5,0.130463993
MED13,0.130389656
REEP1,0.130155084
COMMD10,0.130014619
PPP4R4,0.129970321
TTC21B,0.129669613
KIAA1109,0.129633158
MANEA,0.12959829
ZCCHC2,0.129594875
TRAK1,0.129510888
NDFIP2,0.12939353
SYNE1,0.129377876
LGI3,0.129312318
ZNF142,0.129311254
CDC42BPA,0.129296232
WDR7,0.129282642
CDH1,0.129154797
NPRL3,0.12909901
STAM2,0.128943552
MYL9,0.128652221
AKAP11,0.128509322
LAMA1,0.128490683
SOWAHC,0.128488187
CABP5,0.128403707
HECTD1,0.128402023
LEPR,0.128371466
HLA-C,0.128314692
CAD,0.128201331
CSTA,0.128079721
UVRAG,0.128061693
SPOCK2,0.127999887
HCFC2,0.127983486
TCTN1,0.127896287
MAN1B1,0.127894848
WSCD1,0.127857106
ACOT7,0.127821077
ITPR1,0.127747233
ELOVL7,0.127702762
AK7,0.127688551
MTR,0.127644648
ANAPC1,0.127480999
ABCC3,0.127433542
FAM102B,0.127382694
FAM69A,0.127322323
DBNDD1,0.1273109
EIF2B4,0.127309642
ZFR,0.127278092
CDK6,0.127213325
ITGB3,0.127140851
TOP1MT,0.12713186
MPP5,0.127053319
NUP37,0.127038344
GATM,0.127036314
LIFR,0.127034392
BCAR3,0.127025964
MCM3AP,0.126895964
TPCN2,0.126865788
MYOF,0.12673237
TYMS,0.126674528
MATK,0.126674273
PIK3C2B,0.126588624
ECT2,0.126566329
CALML3,0.12655266
CTSG,0.12655266
EPDR1,0.12655266
HS3ST2,0.12655266
NPY1R,0.12655266
ROBO4,0.12655266
SOX9,0.12655266
TFAP2C,0.12655266
SLC4A4,0.126522348
ACACA,0.126518796
SOX7,0.126304038
IFIT1,0.126284226
LRRC37BP1,0.126269561
PPP2R2B,0.126243876
PTPN1,0.126197901
RASSF5,0.12619766
SNX29,0.126100709
GIPC1,0.126062854
YIPF5,0.126010377
SLC9A7,0.125941558
RLBP1,0.125916686
ZBTB43,0.125746447
KCNC2,0.125716922
MLLT6,0.125689848
NEDD4,0.125596535
DKFZP434I0714,0.125573355
CD48,0.125471499
NOTCH2,0.125433778
SPATS2,0.125423813
MYO5B,0.125369906
PPAPDC1B,0.125140633
ACTR2,0.125119821
IGSF6,0.125004853
HLTF,0.124993199
DHODH,0.124842749
RFK,0.124829901
GATAD2B,0.124805093
TST,0.124741047
ERBB3,0.124708133
ALCAM,0.124605748
GOLGA4,0.124581307
TESK1,0.124524106
ZNF513,0.124461582
C1orf174,0.124456354
GSTCD,0.124440012
PPP1R8,0.124410453
MYBBP1A,0.124317628
ATP6V0A2,0.124283989
TBL1X,0.124064454
DNAH17,0.12402968
LECT1,0.123939906
ZNF652,0.123907348
NOMO2,0.123869218
LINC01355,0.123866487
PCYT1B,0.123784972
GDI1,0.123651628
CLCN3,0.123551388
RALGAPA2,0.123532751
ERCC6,0.123506461
OAS3,0.123455942
SSH1,0.123407447
SYT11,0.123303997
IL15RA,0.123301806
MDH2,0.123219132
GEMIN7,0.12294173
LEPROT,0.122836727
CC2D1B,0.122803462
ZBTB39,0.122676267
MAP6D1,0.122643092
SMARCAL1,0.122620743
GPR12,0.122574696
NAA16,0.122496566
TGFBRAP1,0.122459687
UBE3A,0.122343074
BAZ1B,0.122272176
MORC3,0.12225739
CTSF,0.12216277
CTNNA1,0.122126183
SUDS3,0.122097473
REST,0.122064126
CCDC50,0.122017521
GLCCI1,0.121958486
SNAP91,0.121896268
TM9SF2,0.121884595
GCN1,0.121861466
H2AFY2,0.121859463
POLR2J4,0.121857819
INTS8,0.121777075
GUCY1B3,0.121637435
ECM2,0.121612346
AFAP1L2,0.121469893
MYT1,0.121400281
LINC00657,0.121379311
SMTN,0.121314384
PWAR5,0.121300481
PDCD7,0.121272116
XPC,0.121263697
LDOC1,0.121220308
REEP5,0.121120475
RHPN1,0.121112656
CTSB,0.121088929
MYH7,0.120980177
VAV3,0.120915406
HAND2,0.120865439
KCNJ13,0.120858984
AVL9,0.120835255
RPL32P3,0.120777433
MARCKS,0.12074429
NR2C2AP,0.120737896
CEP295,0.120728803
PPRC1,0.120726975
TSPAN33,0.120536271
DHX29,0.120512905
KIAA0101,0.120477032
GPR34,0.120465698
CDC42EP3,0.120423882
PPP6R1,0.120391957
C3orf62,0.120350093
FAM96A,0.120310801
TRIB3,0.12029047
MS4A1,0.120268882
TXLNA,0.120219054
DHX57,0.120142837
ZKSCAN2,0.120106195
SHPRH,0.120048571
TUSC1,0.119963825
PINK1-AS,0.119809446
GNAL,0.119724697
AFAP1,0.11972421
SFRP4,0.119707359
PRKAB2,0.119621464
RDX,0.119599057
CNPY2,0.119589337
SSRP1,0.119537513
LRIT1,0.119503115
ELK1,0.119446227
TRIM47,0.119442594
MYT1L,0.1193787
TAB2,0.119328382
DOPEY1,0.119323137
ANOS1,0.119208677
GAD1,0.119202026
FER,0.119189407
ZNF772,0.119163941
DCK,0.119086072
BBX,0.118944319
LRRC2,0.118859963
HLA-DPA1,0.118825397
ARHGAP23,0.118804494
NFAT5,0.118782567
LMAN1,0.118759674
KIAA1033,0.118754938
SHPK,0.118603084
SLC27A4,0.11851507
LINC00094,0.118455123
TMEM184A,0.118407644
SLC4A7,0.118313351
GPALPP1,0.118292602
IMPAD1,0.118245243
TMED7,0.118140868
MAP4K4,0.11807699
GATSL2,0.118050718
ZKSCAN1,0.118035151
WAPL,0.118034798
DSTYK,0.118006408
ADAMTSL3,0.117966273
CELSR1,0.117951832
MARCO,0.117780913
BIRC6,0.117770709
TMX2,0.117768202
PLIN3,0.11771859
GPATCH2,0.117551674
MR1,0.117484151
ZFYVE26,0.117477275
MPST,0.117405695
CPLX3,0.117313229
ARAP2,0.117310966
PCOLCE2,0.117297283
NOL6,0.117286348
CARF,0.117274181
HERC5,0.117226908
EPB42,0.117089672
NCOA2,0.116994017
BBS4,0.116985495
STPG1,0.116947683
CAMK2A,0.116891751
AGPS,0.116873617
B4GALNT3,0.116748621
TASP1,0.116737199
ARPC5L,0.116717037
MPP4,0.116627919
CASC4,0.11643675
ASPN,0.11631028
FBXO45,0.116306001
ITPKA,0.116234039
CISH,0.116155943
TMTC1,0.116065312
ZNF300,0.116043469
MIER2,0.116040438
ZMYND10,0.116022701
ATG14,0.115992076
RRAGD,0.11597799
ST7,0.115956697
CHTF8,0.115953167
VAC14,0.115901205
WDR31,0.115861047
PVRL3,0.115826618
PMAIP1,0.115717973
NDRG4,0.115716001
NPHP3,0.115702316
GTF2H3,0.115613432
ASAP2,0.115592882
ADCY3,0.115569374
AIDA,0.115553832
NOP2,0.115489421
SEMA6B,0.115371069
IGIP,0.115342418
TAOK1,0.115326164
RRAD,0.115319025
NLRC3,0.115279301
ASTE1,0.115264346
KIAA2018,0.115184295
ZNF655,0.115179391
CDK11A,0.115164893
ECE1,0.115003857
SLC2A4,0.115000699
RELN,0.114974323
TMEM232,0.114863984
UHMK1,0.1148578
SLC30A5,0.11483132
PORCN,0.114830905
NCEH1,0.114774271
VAMP4,0.114769145
MPP6,0.114744862
LOC400706,0.114659709
ADAM12,0.114657076
DCLK1,0.11457526
CHST3,0.114514159
DCAF5,0.114495549
ZNF740,0.114482067
MFI2,0.114420368
GSTM5,0.114419326
SIKE1,0.114411901
OXCT1,0.114304559
GFM1,0.11428049
XXYLT1,0.114218505
PHTF2,0.114213531
KRT6C,0.114211099
PDS5B,0.114205058
ARF3,0.11419786
ZMYM5,0.114158751
PRDM5,0.114129509
VPS36,0.114074387
GREM1,0.11403981
FBXL15,0.113993794
RFTN1,0.11397176
GNPTAB,0.113951429
XRN1,0.11387649
PRSS2,0.113784851
MGAT1,0.113769181
LRP11,0.113725052
TMEM129,0.113685315
ZSWIM5,0.113671619
ANK2,0.113667053
PHC3,0.113655463
CRNDE,0.113633886
CD93,0.113551408
HIPK2,0.113479588
PLIN4,0.113476595
PLEKHS1,0.113476091
ZCCHC11,0.113468112
TMEM55A,0.113390374
PARD3B,0.113357758
BACH1,0.113299667
PCDHGC5,0.113280817
RB1CC1,0.113237566
GTF2A1,0.11322486
PRDM8,0.113156959
QKI,0.113058557
HAUS1,0.113035787
CAMKK1,0.112943268
BPNT1,0.112890043
STXBP1,0.112882813
SEL1L,0.112880505
CSF1R,0.112874751
PRDM11,0.112860418
IQCE,0.112738783
ZBTB48,0.112715741
ADAMTS5,0.112662734
APELA,0.112662734
C2CD4C,0.112662734
C4BPA,0.112662734
DEFB119,0.112662734
FAM84A,0.112662734
KCNJ4,0.112662734
KIAA1755,0.112662734
SPRR1B,0.112662734
STEAP2,0.112662734
TMEM133,0.112662734
TRH,0.112662734
UGT2B7,0.112662734
WISP2,0.112662734
RNF216,0.112655103
PRPF19,0.11261003
MAP3K5,0.112576951
ACTR5,0.112473245
ENTPD7,0.112459614
UBR4,0.112413013
PEX26,0.11229644
CTNND2,0.112284247
CTBS,0.112247001
PSMD1,0.112068111
LMBRD2,0.111942559
DSCAML1,0.111919205
ARNTL2,0.111905799
ABHD6,0.111846044
SLC35F2,0.111797966
UTP20,0.111776662
DNM3OS,0.111736757
SH2B1,0.111683332
OXSM,0.111677456
ABI3BP,0.111666664
PPP6R3,0.111585758
LRP10,0.111538377
PRRG4,0.111461455
SHISA9,0.111390747
GLDC,0.111220438
DDC,0.111143558
ALKBH4,0.111039347
ZNF768,0.111024028
FKBP14,0.110965463
SPON1,0.110910753
TRAPPC13,0.110807856
VSIG10,0.110792498
SAMD8,0.110778574
TPRA1,0.110737851
APBA1,0.11063936
ZNF566,0.110637221
KDM2B,0.110585839
UBXN7,0.110519145
DOK5,0.110432931
TSSC4,0.110418226
NEURL4,0.110357085
TAB1,0.110330319
RARA,0.110311656
LRCH1,0.110232738
SLC38A3,0.110158084
RPPH1,0.110157814
PRKCI,0.110069561
RBMS2,0.11000134
QSER1,0.109996171
POLA1,0.109979173
RDH13,0.109962288
FBXO10,0.109816884
NLRX1,0.10972597
GFRA1,0.109650823
PLCD1,0.109649821
KRBA1,0.109640703
RAD54L2,0.109571942
CCDC77,0.109562147
PLAA,0.109515916
RPS6KL1,0.109477884
ROCK1,0.109425045
ZNF600,0.109347027
LPP,0.109334544
CUBN,0.1092488
IDS,0.10924876
PLXNB2,0.109200031
KDM5C,0.109188589
ZNF747,0.10917673
REXO1,0.10911927
ADAM22,0.109109818
GPX3,0.109066974
BIRC2,0.10905602
ZSCAN2,0.109011449
PRKAR2B,0.108913183
PDE6H,0.108899975
